"country","avg_crises"
"United States",2.03763440860215
"Canada",0.133333333333333
"Cuba",1.375
"Haiti",1.37037037037037
"Dominican Republic",0.132911392405063
"Trinidad and Tobago",1
"Mexico",0.372222222222222
"Guatemala",0.184049079754601
"Honduras",0.245398773006135
"El Salvador",0.118012422360248
"Nicaragua",0.365853658536585
"Costa Rica",0.115853658536585
"Panama",0.191919191919192
"Colombia",0.294117647058824
"Venezuela, Bolivarian Republic of",0.273255813953488
"Guyana",1.33333333333333
"Ecuador",0.354651162790698
"Peru",0.513812154696133
"Brazil",0.401129943502825
"Bolivia, Plurinational State of",0.293785310734463
"Paraguay",0.28494623655914
"Chile",0.407608695652174
"Argentina",0.508474576271186
"Uruguay",0.0581395348837209
"United Kingdom",1.53763440860215
"Ireland",0.05
"Netherlands",0.252688172043011
"Belgium",0.133720930232558
"Luxembourg",1.33333333333333
"France",1
"Switzerland",0.0779220779220779
"Spain",0.543010752688172
"Portugal",0.290322580645161
"Germany",1.70503597122302
"Federal Republic of Germany",1.28571428571429
"German Democratic Republic",1.14285714285714
"Poland",0.261904761904762
"Austria",0.0591397849462366
"Hungary",0.259259259259259
"Czechoslovakia",1.41666666666667
"Czech Republic",2
"Slovakia",1
"Italy",0.900709219858156
"Holy See (Vatican City State)",1.25
"Two Sicilies",1.33333333333333
"Tuscany",1
"Albania",1.81481481481481
"Macedonia, the former Yugoslav Republic of",1
"Croatia",2
"Yugoslavia",5.15625
"Bosnia and Herzegovina",2.25
"Slovenia",1
"Greece",0.64
"Cyprus",1.47368421052632
"Bulgaria",1.71428571428571
"Moldova, Republic of",1
"Romania",0.20979020979021
"Russian Federation",2.49162011173184
"Estonia",1.42857142857143
"Latvia",1.375
"Lithuania",1.27272727272727
"Ukraine",1
"Belarus",1
"Armenia",1.4
"Georgia",1.28571428571429
"Azerbaijan",1.7
"Finland",0.141176470588235
"Sweden",0.220430107526882
"Norway",0.17741935483871
"Denmark",0.150537634408602
"Iceland",1.1
"Guinea-Bissau",1
"Gambia",1
"Mali",1.16666666666667
"Senegal",1.27272727272727
"Benin",1
"Mauritania",1.14285714285714
"Niger",1.33333333333333
"Cote d'Ivoire",0.119047619047619
"Guinea",1.45454545454545
"Burkina Faso",1.25
"Liberia",1.5
"Sierra Leone",2
"Ghana",0.380952380952381
"Togo",1.14285714285714
"Cameroon",1.11111111111111
"Nigeria",0.380952380952381
"Gabon",1
"Central African Republic",0.0714285714285714
"Chad",1.13333333333333
"Congo",1.16666666666667
"Congo, the Democratic Republic of the",1.55555555555556
"Uganda",1.95652173913043
"Kenya",0.435897435897436
"Tanzania, United Republic of",1.36363636363636
"Burundi",1.33333333333333
"Rwanda",1.27272727272727
"Somalia",1.40909090909091
"Ethiopia",1.36842105263158
"Angola",0.407407407407407
"Mozambique",1.14285714285714
"Zambia",1.02631578947368
"Zimbabwe",0.857142857142857
"Malawi",2
"South Africa",0.434782608695652
"Namibia",1
"Lesotho",1.33333333333333
"Botswana",1.28571428571429
"Swaziland",1
"Madagascar",1
"Comoros",1
"Mauritius",0
"Morocco",0.237762237762238
"Algeria",0.25
"Tunisia",0.244444444444444
"Libya",2.36842105263158
"Sudan",1.62962962962963
"Iran, Islamic Republic of",3.06349206349206
"Turkey",1.1989247311828
"Iraq",3.29787234042553
"Egypt",1.27160493827161
"Syrian Arab Republic",2.71428571428571
"Lebanon",1.03571428571429
"Jordan",1.33333333333333
"Israel",4.03846153846154
"Saudi Arabia",1.4
"Yemen Arab Republic",1.13636363636364
"Yemen",1.33333333333333
"Yemen People's Republic",1.25
"Kuwait",1.23809523809524
"Bahrain",2
"United Arab Emirates",1
"Oman",1
"Afghanistan",1.71875
"Turkmenistan",1
"Tajikistan",1
"Kyrgyzstan",1
"Uzbekistan",1.33333333333333
"Kazakhstan",1
"China",1.62365591397849
"Mongolia",1
"Taiwan, Province of China",1.2
"Korea",0.368421052631579
"Korea, Democratic People's Republic of",1.70833333333333
"Korea, Republic of",1.59259259259259
"Japan",1.1989247311828
"India",2.10909090909091
"Pakistan",1.73913043478261
"Bangladesh",1
"Myanmar",0.611111111111111
"Sri Lanka",0.0925925925925926
"Nepal",1.14285714285714
"Thailand",0.543010752688172
"Cambodia",1.94117647058824
"Lao People's Democratic Republic",1.3448275862069
"Viet Nam",1.77777777777778
"Republic of Vietnam",1.57142857142857
"Malaysia",0.355555555555556
"Singapore",0.0930232558139535
"Philippines",0.328358208955224
"Indonesia",0.543859649122807
"Australia",0.0891089108910891
"Papua New Guinea",1.14285714285714
"New Zealand",0.0137931034482759
