"country","year","currency","inflation","stockmarket","domdebt","extdebt","banking"
"United States",1816,0,0,0,0,0,0
"United States",1817,0,0,0,0,0,0
"United States",1818,0,0,0,0,0,1
"United States",1819,0,0,0,0,0,1
"United States",1820,0,0,0,0,0,0
"United States",1821,0,0,0,0,0,0
"United States",1822,0,0,0,0,0,0
"United States",1823,0,0,0,0,0,0
"United States",1824,0,0,0,0,0,0
"United States",1825,0,0,0,0,0,1
"United States",1826,0,0,0,0,0,0
"United States",1827,0,0,0,0,0,0
"United States",1828,0,0,0,0,0,0
"United States",1829,0,0,0,0,0,0
"United States",1830,0,0,0,0,0,0
"United States",1831,0,0,0,0,0,0
"United States",1832,0,0,0,0,0,0
"United States",1833,0,0,0,0,0,0
"United States",1834,0,0,0,0,0,0
"United States",1835,0,0,0,0,0,0
"United States",1836,0,0,0,0,0,1
"United States",1837,0,0,0,0,0,1
"United States",1838,0,0,0,0,0,1
"United States",1839,0,0,0,0,0,1
"United States",1840,0,0,0,0,0,0
"United States",1841,0,0,0,1,0,0
"United States",1842,0,0,0,1,0,0
"United States",1843,0,0,0,1,0,0
"United States",1844,0,0,0,1,0,0
"United States",1845,0,0,0,1,0,0
"United States",1846,0,0,0,1,0,0
"United States",1847,0,0,0,1,0,0
"United States",1848,0,0,0,1,0,0
"United States",1849,0,0,0,0,0,0
"United States",1850,0,0,0,0,0,0
"United States",1851,0,0,0,0,0,0
"United States",1852,0,0,0,0,0,0
"United States",1853,0,0,0,0,0,0
"United States",1854,0,0,0,0,0,0
"United States",1855,0,0,0,0,0,0
"United States",1856,0,0,0,0,0,0
"United States",1857,0,0,0,0,0,1
"United States",1858,0,0,0,0,0,0
"United States",1859,0,0,0,0,0,0
"United States",1860,0,0,0,0,0,0
"United States",1861,0,0,0,0,0,0
"United States",1862,1,0,0,0,0,0
"United States",1863,0,1,0,0,0,0
"United States",1864,0,1,1,0,0,0
"United States",1865,0,0,1,0,0,0
"United States",1866,0,0,0,0,0,0
"United States",1867,0,0,0,0,0,0
"United States",1868,0,0,0,0,0,0
"United States",1869,0,0,0,0,0,0
"United States",1870,0,0,0,0,0,0
"United States",1871,0,0,0,0,0,0
"United States",1872,0,0,0,0,0,0
"United States",1873,0,0,0,1,0,1
"United States",1874,0,0,0,1,0,0
"United States",1875,0,0,1,1,0,0
"United States",1876,1,0,1,1,0,0
"United States",1877,0,0,0,1,0,0
"United States",1878,0,0,0,1,0,0
"United States",1879,0,0,0,1,0,0
"United States",1880,0,0,0,1,0,0
"United States",1881,0,0,0,1,0,0
"United States",1882,0,0,0,1,0,0
"United States",1883,0,0,1,1,0,0
"United States",1884,0,0,1,0,0,1
"United States",1885,0,0,1,0,0,0
"United States",1886,1,0,0,0,0,0
"United States",1887,0,0,0,0,0,0
"United States",1888,0,0,1,0,0,0
"United States",1889,0,0,0,0,0,0
"United States",1890,0,0,0,0,0,1
"United States",1891,1,0,0,0,0,0
"United States",1892,1,0,0,0,0,0
"United States",1893,1,0,1,0,0,1
"United States",1894,1,0,1,0,0,0
"United States",1895,0,0,0,0,0,0
"United States",1896,0,0,0,0,0,0
"United States",1897,1,0,0,0,0,0
"United States",1898,0,0,0,0,0,0
"United States",1899,0,0,0,0,0,0
"United States",1900,0,0,0,0,0,0
"United States",1901,0,0,0,0,0,0
"United States",1902,1,0,0,0,0,0
"United States",1903,0,0,1,0,0,0
"United States",1904,0,0,1,0,0,0
"United States",1905,0,0,0,0,0,0
"United States",1906,0,0,1,0,0,0
"United States",1907,0,0,1,0,0,1
"United States",1908,1,0,1,0,0,0
"United States",1909,0,0,0,0,0,0
"United States",1910,0,0,1,0,0,0
"United States",1911,0,0,1,0,0,0
"United States",1912,0,0,0,0,0,0
"United States",1913,0,0,1,0,0,0
"United States",1914,1,0,1,0,0,1
"United States",1915,1,0,0,0,0,0
"United States",1916,0,0,1,0,0,0
"United States",1917,0,0,1,0,0,0
"United States",1918,0,0,1,0,0,0
"United States",1919,0,0,1,0,0,0
"United States",1920,1,0,1,0,0,0
"United States",1921,2,0,1,0,0,0
"United States",1922,0,0,0,0,0,0
"United States",1923,0,0,0,0,0,0
"United States",1924,0,0,0,0,0,0
"United States",1925,0,0,0,0,0,0
"United States",1926,1,0,0,0,0,0
"United States",1927,1,0,0,0,0,0
"United States",1928,0,0,0,0,0,0
"United States",1929,1,0,1,0,0,1
"United States",1930,1,0,1,0,0,1
"United States",1931,1,0,1,0,0,1
"United States",1932,0,0,1,0,0,1
"United States",1933,1,0,0,1,0,1
"United States",1934,0,0,0,0,0,0
"United States",1935,0,0,0,0,0,0
"United States",1936,1,0,0,0,0,0
"United States",1937,0,0,1,0,0,0
"United States",1938,0,0,0,0,0,0
"United States",1939,1,0,1,0,0,0
"United States",1940,1,0,1,0,0,0
"United States",1941,0,0,1,0,0,0
"United States",1942,0,0,0,0,0,0
"United States",1943,0,0,0,0,0,0
"United States",1944,0,0,0,0,0,0
"United States",1945,0,0,0,0,0,0
"United States",1946,0,0,1,0,0,0
"United States",1947,1,0,1,0,0,0
"United States",1948,1,0,1,0,0,0
"United States",1949,0,0,0,0,0,0
"United States",1950,0,0,0,0,0,0
"United States",1951,0,0,0,0,0,0
"United States",1952,0,0,0,0,0,0
"United States",1953,0,0,0,0,0,0
"United States",1954,0,0,0,0,0,0
"United States",1955,0,0,0,0,0,0
"United States",1956,0,0,1,0,0,0
"United States",1957,0,0,1,0,0,0
"United States",1958,0,0,1,0,0,0
"United States",1959,0,0,0,0,0,0
"United States",1960,0,0,0,0,0,0
"United States",1961,0,0,0,0,0,0
"United States",1962,0,0,0,0,0,0
"United States",1963,0,0,0,0,0,0
"United States",1964,0,0,0,0,0,0
"United States",1965,0,0,0,0,0,0
"United States",1966,0,0,0,0,0,0
"United States",1967,0,0,0,0,0,0
"United States",1968,0,0,0,0,0,0
"United States",1969,1,0,0,0,0,0
"United States",1970,0,0,0,0,0,0
"United States",1971,1,0,0,0,0,0
"United States",1972,0,0,0,0,0,0
"United States",1973,0,0,1,0,0,0
"United States",1974,0,0,1,0,0,0
"United States",1975,1,0,0,0,0,0
"United States",1976,0,0,0,0,0,0
"United States",1977,0,0,1,0,0,0
"United States",1978,0,0,1,0,0,0
"United States",1979,0,0,1,0,0,0
"United States",1980,0,0,1,0,0,0
"United States",1981,0,0,1,0,0,0
"United States",1982,0,0,1,0,0,0
"United States",1983,0,0,0,0,0,0
"United States",1984,0,0,0,0,0,1
"United States",1985,0,0,0,0,0,1
"United States",1986,0,0,0,0,0,1
"United States",1987,0,0,0,0,0,1
"United States",1988,0,0,0,0,0,1
"United States",1989,0,0,1,0,0,1
"United States",1990,0,0,1,0,0,1
"United States",1991,0,0,1,0,0,1
"United States",1992,0,0,0,0,0,0
"United States",1993,0,0,0,0,0,0
"United States",1994,0,0,0,0,0,0
"United States",1995,0,0,0,0,0,0
"United States",1996,0,0,0,0,0,0
"United States",1997,0,0,0,0,0,0
"United States",1998,0,0,0,0,0,0
"United States",1999,0,0,0,0,0,0
"United States",2000,0,0,1,0,0,0
"United States",2001,0,0,1,0,0,0
"Canada",1867,0,0,0,0,0,0
"Canada",1868,0,0,0,0,0,0
"Canada",1869,0,0,0,0,0,0
"Canada",1870,0,0,0,0,0,0
"Canada",1871,0,0,0,0,0,0
"Canada",1872,0,0,0,0,0,0
"Canada",1873,0,0,0,0,0,1
"Canada",1874,0,0,0,0,0,0
"Canada",1875,0,0,0,0,0,0
"Canada",1876,0,0,0,0,0,0
"Canada",1877,0,0,0,0,0,0
"Canada",1878,0,0,0,0,0,0
